"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Cooperative Co-Evolution for Large-Scale Multi-Objective Air Traffic Flow Management","T. Guo; Y. Mei; K. Tang; W. Du","School of Electronic and Information Engineering, Beihang University, Beijing, China; School of Engineering and Computer Science, Victoria University of Wellington, Wellington, New Zealand; Department of Computer Science and Engineering, Southern University of Science and Technology, Shenzhen, China; School of Electronic and Information Engineering, Beihang University, Beijing, China","IEEE Transactions on Evolutionary Computation","","2023","PP","99","1","1","Air traffic flow management (ATFM) is the key driver of efficient aviation. It aims at balancing traffic demand against airspace capacity by scheduling aircraft, which is critical for air navigation service providers in delivering secure and sustainable air transport. Nowadays, the scale of scheduled aircraft grows dramatically along with the sharp increase in air traffic demand, which brings heavy pressure to efficient scheduling. Regarding safety and efficiency as two fundamental objectives of air transport, this paper proposes a cooperative co-evolutionary algorithm to solve large-scale multi-objective ATFM problems. First, a new multi-objective co-evolution framework with an evolving external archive is devised, in which the subcomponents collaborate with each other via the knee solution of the archive. Second, a novel fuzzy decomposition method is specifically designed to split the large-scale ATFM problem into small-size subcomponents by utilizing the spatiotemporal correlations of aircraft. During optimization, the proposed algorithm can continuously receive feedback from the optimization process and make the decomposition more likely better suited to the problem. Third, a new contribution-based probabilistic resource allocation mechanism is developed to automatically assign the computing resources to the unbalanced subcomponents. Finally, a test suite with different scales extracted from real air traffic data is created. Extensive experimental results show that, given the same number of fitness evaluations, the proposed algorithm significantly outperforms the state-of-the-art baselines in terms of effectiveness on all the benchmark instances.","1941-0026","","10.1109/TEVC.2023.3328886","National Natural Science Foundation of China(grant numbers:61722102); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10302395","Multi-objective optimization;evolutionary computation;meta-heuristic;air traffic flow management","Aircraft;Airports;Metaheuristics;Delays;Aircraft navigation;Air traffic control;Trajectory","","","","","","","IEEE","31 Oct 2023","","","IEEE","IEEE Early Access Articles"
"Rapidly Evolving Soft Robots via Action Inheritance","S. Liu; W. Yao; H. Wang; W. Peng; Y. Yang","School of Artificial Intelligence, Xidian University, Xi’an, China; Defense Innovation Institute, Chinese Academy of Military Science, Beijing, China; School of Artificial Intelligence, Xidian University, Xi’an, China; Defense Innovation Institute, Chinese Academy of Military Science, Beijing, China; Defense Innovation Institute, Chinese Academy of Military Science, Beijing, China","IEEE Transactions on Evolutionary Computation","","2023","PP","99","1","1","The automatic design of soft robots characterizes as jointly optimizing structure and control. As reinforcement learning is gradually used to optimize control, the time-consuming controller training makes soft robots design an expensive optimization problem. Although surrogate-assisted evolutionary algorithms have made a remarkable achievement in dealing with expensive optimization problems, they typically suffer from challenges in constructing accurate surrogate models due to the complex mapping among structure, control, and task performance. Therefore, we propose an action inheritance-based evolutionary algorithm to accelerate the design process. Instead of training a controller, the proposed algorithm uses inherited actions to control a candidate design to complete a task and obtain its approximated performance. Inherited actions are near-optimal control policies that are partially or entirely inherited from optimized control actions of a real evaluated robot design. The action inheritance plays the role of surrogate models where its input is the structure and output is the near-optimal control actions. We also propose a random perturbation operation to estimate the error introduced by inherited control actions. The effectiveness of our proposed method is validated by evaluating it on a wide range of tasks, including locomotion and manipulation. Experimental results show that our algorithm is better than the other three state-of-the-art algorithms on most tasks when only a limited computational budget is available. Compared with the algorithm without surrogate models, our algorithm saves about half the computing cost.","1941-0026","","10.1109/TEVC.2023.3327459","National Natural Science Foundation of China(grant numbers:61976165,62376202); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10296048","Soft robot design;surrogate-assisted evolutionary algorithm;morphological optimization;error estimation","Robots;Optimization;Task analysis;Soft robotics;Training;Computational modeling;Encoding","","","","","","","IEEE","25 Oct 2023","","","IEEE","IEEE Early Access Articles"
"Transfer-Based Particle Swarm Optimization for Large-Scale Dynamic Optimization With Changing Variable Interactions","X. -F. Liu; Z. -H. Zhan; J. Zhang","College of Artificial Intelligence, Institute of Robotics and Automatic Information Systems, Nankai University, Tianjin, China; College of Artificial Intelligence, Nankai University, Tianjin, China; College of Artificial Intelligence, Nankai University, Tianjin, China","IEEE Transactions on Evolutionary Computation","","2023","PP","99","1","1","Cooperative coevolutionary algorithms are popular to solve large-scale dynamic optimization problems via divide-and-conquer mechanisms. Their performance depends on how decision variables are grouped and how changing optima are tracked. However, existing decomposition methods are computationally expensive, resulting in limitations under dynamic variable interactions. Quick online decomposition is still a challenging issue, along with solution reconstruction for new subproblems. This paper proposes transfer-based particle swarm optimization, which adopts a dynamic differential grouping for online decomposition and a solution transfer strategy in response to environmental changes. Particularly, once an environmental change occurs, the dynamic differential grouping readjusts historical groupings based on the change severity of variable interactions. In addition, according to the similarity between subproblems in successive environments, the solution transfer strategy constructs new solutions from historical ones through dimension mapping. Multiple swarms are created to explore subareas of subproblems. Experimental results show that the proposed algorithm outperforms state-of-the-art algorithms on problem instances up to 1000-D in terms of solution optimality. The dynamic differential grouping obtains accurate groupings using less function evaluations.","1941-0026","","10.1109/TEVC.2023.3326327","National Natural Science Foundation of China(grant numbers:62103202); Fundamental Research Funds for the Central Universities Nankai University(grant numbers:63231162); Natural Science Foundation of Tianjin City(grant numbers:21JCQNJC00140); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10288590","Cooperative coevolution;decomposition;particle swarm optimization;transfer learning;dimension mapping","Heuristic algorithms;Optimization;Particle swarm optimization;Statistics;Sociology;Manuals;Upper bound","","","","","","","IEEE","20 Oct 2023","","","IEEE","IEEE Early Access Articles"
"Bi-Population Enhanced Cooperative Differential Evolution for Constrained Large-Scale Optimization Problems","P. Jiang; J. Liu; Y. Cheng","School of Naval Architecture and Ocean Engineering, Huazhong University of Science and Technology, Wuhan, PR China; School of Naval Architecture and Ocean Engineering, Huazhong University of Science and Technology, Wuhan, PR China; School of Naval Architecture and Ocean Engineering, Huazhong University of Science and Technology, Wuhan, PR China","IEEE Transactions on Evolutionary Computation","","2023","PP","99","1","1","By decomposing the problem into a series of low-dimensional subproblems, cooperative coevolution is an effective method for large-scale optimization problems. This work reveals that when constraints are introduced in decomposition-based methods, the optima of a subproblem might change during the evolution process. Therefore, it is essential to maintain the population diversity in cooperative coevolution. This work proposes a bi-population enhanced cooperative differential evolution to address this issue. In the proposed method, the population of a subproblem is divided into two subpopulations (local and global) according to a specific strategy. The global and local subpopulations evolve independently, using different differential mutation operators to generate offspring separately without interference. The local subpopulation aims to track and improve the previous optima, while the global subpopulation attempts to find and locate the potential emerging optima. The proposed algorithm is tested on 12 constrained large-scale benchmarks and the experiments show that it can provide highly competitive performance compared to state-of-the-art algorithms. The proposed bi-population strategy is more effective at the lower dimensionality of the subproblem.","1941-0026","","10.1109/TEVC.2023.3325004","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10287218","Large-scale optimization;Constrained optimization;Differential evolution;Cooperative coevolution;Evolutionary algorithms;Bi-population","Optimization;Statistics;Sociology;Oceans;Computer architecture;Technological innovation;Marine vehicles","","","","","","","IEEE","17 Oct 2023","","","IEEE","IEEE Early Access Articles"
"Benchmarking Analysis of Evolutionary Neural Architecture Search","Z. Lv; C. Qian; Y. Sun","College of Computer Science, Sichuan University, Chengdu, China; State Key Laboratory for Novel Software Technology, Nanjing University, Nanjing, China; College of Computer Science, Sichuan University, Chengdu, China","IEEE Transactions on Evolutionary Computation","","2023","PP","99","1","1","Evolutionary computation-based neural architecture search (ENAS) is a popular technique for automating the architecture design of deep neural networks. For any evolutionary computation-based algorithm, the runtime and convergence are the most important aspects concerned by theoretical analysis. However, because of the lacking of benchmarked fitness functions specialized for ENAS, the corresponding theoretical work is rarely available. To address this issue, we propose three different benchmark functions in this paper based on NAS-Bench-101. Specifically, we first propose a correlation-based feature extraction method, to capture the accuracy relationship between neural architectures and their fitness values. Furthermore, we propose a function toolkit, which allows combining different architecture features to specific benchmark functions. In addition, three benchmark functions are derived upon the toolkit by considering the features of neural net topologies, the features of neural operations, and their combinations. Based on these designs, the search space partition and transition probability calculation could be easily established, which in turn greatly promote the runtime and convergence analysis. We perform the experiments of ranking correlation, and the experimental results demonstrate the correctness of the proposed benchmark functions. To the best of our knowledge, this is the first work focusing on ENAS benchmark functions.","1941-0026","","10.1109/TEVC.2023.3324852","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10286149","Neural architecture search (NAS);evolutionary NAS (ENAS);NAS problem;benchmark functions","Benchmark testing;Computer architecture;Neural networks;Optimization;Feature extraction;Search problems;Runtime","","","","","","","IEEE","16 Oct 2023","","","IEEE","IEEE Early Access Articles"
"Evolutionary Multitasking With Centralized Learning for Large-Scale Combinatorial Multi-Objective Optimization","Y. Huang; W. Zhou; Y. Wang; M. Li; L. Feng; K. C. Tan","College of Computer Science, Chongqing University, Chongqing, China; College of Computer Science and Software Engineering, Shenzhen University, Shenzhen, China; Department of User Growth and Operations, Jing Dong Retail, The Netherlands; Department of User Growth and Operations, Jing Dong Retail, The Netherlands; College of Computer Science, Chongqing University, Chongqing, China; Department of Computing, The Hong Kong Polytechnic University, Hong Kong","IEEE Transactions on Evolutionary Computation","","2023","PP","99","1","1","Evolutionary multitasking (EMT) has attracted much attention in the community of evolutionary computation recently. It intends to improve the performance of evolutionary optimization on multiple problems via knowledge learning and transfer across them while the optimization processes progress online. Existing EMT paradigms can be classified as explicit EMT (EEMT) and implicit EMT (IEMT) according to the mechanisms adopted in the knowledge transfer. With additional knowledge learning and transfer modules, the EEMT often brings flexible algorithmic designs and effective knowledge transfer against the IEMT. However, most of the existing EEMT studies are designed for continuous optimization problems. Due to the difficulty of learning problem-specific mappings across combinatorial optimization problems, EEMT for combinatorial optimization is still in the nascent stage. Furthermore, it is worth noting that, with the growing number of tasks in today’s real-world applications and the enlarged number of decision variables in each of the tasks, learning mappings across tasks becomes more challenging. Keeping the above in mind, this paper presents a novel EEMT algorithm with centralized learning for solving the large-scale and multi-objective combinatorial optimization in many-task manner, in which knowledge transfer across tasks is conducted based on a centralized learning model, instead of task-specific mappings which are required in existing EEMT studies. To investigate the performance of the proposed centralized learning assisted EEMT, comprehensive empirical studies have been conducted on the large-scale and multi-objective knapsack problems. Lastly, the efficacy of our proposed method is further validated on a real-world combinatorial optimization application.","1941-0026","","10.1109/TEVC.2023.3323877","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10278184","Evolutionary Multitasking;Combinatorial Optimization;Large-scale Optimization","Task analysis;Optimization;Knowledge transfer;Multitasking;Search problems;Companies;Evolutionary computation","","","","","","","IEEE","11 Oct 2023","","","IEEE","IEEE Early Access Articles"
"Interactively Learning Rough Strategies That Dynamically Satisfy Investor’s Preferences in Multiobjective Index Tracking","J. C. S. Silva; A. T. d. A. Filho","Centro de Informática, Universidade Federal de Pernambuco, Recife, Brazil; Centro de Informática, Universidade Federal de Pernambuco, Recife, Brazil","IEEE Transactions on Evolutionary Computation","","2023","PP","99","1","1","Multiobjective index tracking models optimize portfolios considering investors’ desire to replicate or outperform a market index. It is possible to search for the best portfolio in the optimal Pareto Front for a given investor with Interactive Multiobjective Optimization using Dominance-based Rough Sets Approach (IMO-DRSA). However, obtaining the optimal Pareto front can be impractical as the index size grows. Therefore, evolutionary multiobjective approaches (EMO) can be used to find good fronts in a reasonable time. A simulated IMO-DRSA approach was adopted and extended to offer insights on how to design interactive processes for index tracking considering the stochastic output of EMO. The extended simulated IMO-DRSA approach analyzes how different factors, such as the number of interactions and methods for cognitive effort reduction, affect the capacity of an EMO to produce good portfolios for different types of artificial investors during interactions and to maintain their goodness over time. In contrast to previous studies, this research explores various approaches for displaying potential portfolios to investors and investigates the performance of an evolutionary algorithm guided by IMO-DRSA in multiple problem instances with an increased number of objectives.","1941-0026","","10.1109/TEVC.2023.3321341","Coordena??o de Aperfei?oamento de Pessoal de N?vel Superior(grant numbers:001); Conselho Nacional de Desenvolvimento Cient?fico e Tecnol?gico(grant numbers:315245/2020-4); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10268975","Portfolio optimization;Interactive multiobjective optimization;Evolutionary algorithm;Dominance-based rough set approach;index tracking","Portfolios;Indexes;Optimization;Evolutionary computation;Costs;Process control;Minimization","","","","","","","IEEE","2 Oct 2023","","","IEEE","IEEE Early Access Articles"
"A Unified Innovized Progress Operator for Performance Enhancement in Evolutionary Multi- and Many-objective Optimization","S. Mittal; D. K. Saxena; K. Deb; E. D. Goodman","Department of Mechanical and Industrial Engineering, Indian Institute of Technology Roorkee, Roorkee, India; Department of Mechanical and Industrial Engineering, Indian Institute of Technology Roorkee, Roorkee, India; BEACON Center for the Study of Evolution in Action and the Department of Electrical and Computer Engineering, Michigan State University, East Lansing, MI, USA; BEACON Center for the Study of Evolution in Action and the Department of Electrical and Computer Engineering, Michigan State University, East Lansing, MI, USA","IEEE Transactions on Evolutionary Computation","","2023","PP","99","1","1","This paper proposes a machine learning (ML) based unified innovized progress (UIP) operator to simultaneously enhance the convergence and diversity capabilities of reference vector based evolutionary multi-and many-objective optimization algorithms, namely, RV-EMâOAs. Recent studies have demonstrated that ML intervention could help enhance convergence of RV-EMâOAs by capturing efficient search directions, through mapping of inter-generational solutions along the different reference vectors (RVs). This paper first demonstrates that ML intervention can also help enhance the diversity capability of RV-EMâOAs through mapping of intra-generational solutions across the RVs. Subsequently, the UIP operator integrates the convergence and diversity enhancement capabilities in a manner that is generic -applicable to different RV-EMâOAs, and practicable -not requiring any extra solution evaluations over the base RV-EMâOAs. Based on 24,056 experimental runs on multi-and many-objective problems, the UIP operator, when integrated with different RV-EMâOAs, has provided statistically better performance in about 36% instances, and better or equivalent in about 92% instances, compared to the respective base RV-EMâOAs.","1941-0026","","10.1109/TEVC.2023.3321603","Scheme for Promotion of Academic and Research Collaboration(grant numbers:P66); Michigan State University; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10269130","Multiobjective Optimization;Learning-assisted Optimization;Innovized Progress;Machine Learning;Innovization;Online Innovization","Convergence;Optimization;Shape;Machine learning;IP networks;Training;Testing","","","","","","","IEEE","2 Oct 2023","","","IEEE","IEEE Early Access Articles"
"Quality Indicators for Preference-Based Evolutionary Multi-Objective Optimization Using a Reference Point: A Review and Analysis","R. Tanabe; K. Li","Faculty of Environment and Information Sciences, Yokohama National University, Yokohama, Japan; Department of Computer Science, University of Exeter, Exeter, UK","IEEE Transactions on Evolutionary Computation","","2023","PP","99","1","1","Some quality indicators have been proposed for benchmarking preference-based evolutionary multi-objective optimization algorithms using a reference point. Although a systematic review and analysis of the quality indicators are helpful for both benchmarking and practical decision-making, neither has been conducted. In this context, first, this paper reviews existing regions of interest and quality indicators for preference-based evolutionary multi-objective optimization using the reference point. We point out that each quality indicator was designed for a different region of interest. Then, this paper investigates the properties of the quality indicators. We demonstrate that an achievement scalarizing function value is not always consistent with the distance from a solution to the reference point in the objective space. We observe that the regions of interest can be significantly different depending on the position of the reference point and the shape of the Pareto front. We identify undesirable properties of some quality indicators. We also show that the ranking of preference-based evolutionary multi-objective optimization algorithms depends on the choice of quality indicators.","1941-0026","","10.1109/TEVC.2023.3319009","Leading Initiative for Excellent Young Researchers; Japan Society for the Promotion of Science(grant numbers:21K17824); Amazon Research Award; UKRI Future Leaders Fellowship(grant numbers:MR/S017062/1,MR/X011135/1); National Natural Science Foundation of China(grant numbers:62076056); Engineering and Physical Sciences Research Council(grant numbers:2404317); Royal Society(grant numbers:IES/R2/212077); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10268021","Preference-based evolutionary multi-objective optimization;quality indicators;benchmarking","Optimization;Behavioral sciences;Approximation algorithms;Linear programming;Benchmark testing;Surveys;Quality assessment","","","","","","","IEEE","29 Sep 2023","","","IEEE","IEEE Early Access Articles"
"Runtime Analysis for the NSGA-II: Proving, Quantifying, and Explaining the Inefficiency For Many Objectives","W. Zheng; B. Doerr","International Research Institute for Artificial Intelligence, School of Computer Science and Technology, Harbin Institute of Technology, Shenzhen, China; Laboratoire d’Informatique (LIX), École Polytechnique, CNRS, Institut Polytechnique de Paris, Palaiseau, France","IEEE Transactions on Evolutionary Computation","","2023","PP","99","1","1","The NSGA-II is one of the most prominent algorithms to solve multi-objective optimization problems. Despite numerous successful applications, several studies have shown that the NSGA-II is less effective for larger numbers of objectives. In this work, we use mathematical runtime analyses to rigorously demonstrate and quantify this phenomenon. We show that even on the simple m-objective generalization of the discrete OneMinMax benchmark, where every solution is Pareto optimal, the NSGA-II also with large population sizes cannot compute the full Pareto front (objective vectors of all Pareto optima) in sub-exponential time when the number of objectives is at least three. The reason for this unexpected behavior lies in the fact that in the computation of the crowding distance, the different objectives are regarded independently. This is not a problem for two objectives, where any sorting of a pair-wise incomparable set of solutions according to one objective is also such a sorting according to the other objective (in the inverse order).","1941-0026","","10.1109/TEVC.2023.3320278","Agence Nationale de la Recherche(grant numbers:ANR-11-LABX-0056-LMH); Guangdong Science and Technology Department(grant numbers:2019A1515110177); Science, Technology and Innovation Commission of Shenzhen Municipality(grant numbers:GXWD20220818191018001); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10266760","Runtime analysis;NSGA-II;many-objective optimization;theory of computing","Runtime;Statistics;Sociology;Benchmark testing;Optimization;Sorting;Evolutionary computation","","","","1","","","CCBYNCND","28 Sep 2023","","","IEEE","IEEE Early Access Articles"
