"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Table of Contents","",,"IEEE Transactions on Evolutionary Computation","30 Sep 2022","2022","26","5","C1","801","Presents the table of contents for this issue of the publication.","1941-0026","","10.1109/TEVC.2022.3206919","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9906524","","","","","","","","0","IEEE","30 Sep 2022","","","IEEE","IEEE Journals"
"IEEE Transactions on Evolutionary Computation Publication Information","",,"IEEE Transactions on Evolutionary Computation","30 Sep 2022","2022","26","5","C2","C2","Presents a listing of the editorial board, board of governors, current staff, committee members, and/or society editors for this issue of the publication.","1941-0026","","10.1109/TEVC.2022.3208670","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9906462","","","","","","","","0","IEEE","30 Sep 2022","","","IEEE","IEEE Journals"
"A Review of Population-Based Metaheuristics for Large-Scale Black-Box Global Optimization—Part I","M. N. Omidvar; X. Li; X. Yao","School of Computing, Leeds University Business School, University of Leeds, Leeds, U.K.; School of Computing Technologies, RMIT University, Melbourne, VIC, Australia; Department of Computer Science and Engineering, Guangdong Provincial Key Laboratory of Brain-Inspired Intelligent Computation, Southern University of Science and Technology, Shenzhen, China","IEEE Transactions on Evolutionary Computation","30 Sep 2022","2022","26","5","802","822","Scalability of optimization algorithms is a major challenge in coping with the ever-growing size of optimization problems in a wide range of application areas from high-dimensional machine learning to complex large-scale engineering problems. The field of large-scale global optimization is concerned with improving the scalability of global optimization algorithms, particularly, population-based metaheuristics. Such metaheuristics have been successfully applied to continuous, discrete, or combinatorial problems ranging from several thousand dimensions to billions of decision variables. In this two-part survey, we review recent studies in the field of large-scale black-box global optimization to help researchers and practitioners gain a bird’s-eye view of the field, learn about its major trends, and the state-of-the-art algorithms. Part I of the series covers two major algorithmic approaches to large-scale global optimization: 1) problem decomposition and 2) memetic algorithms. Part II of the series covers a range of other algorithmic approaches to large-scale global optimization, describes a wide range of problem areas, and finally, touches upon the pitfalls and challenges of current research and identifies several potential areas for future research.","1941-0026","","10.1109/TEVC.2021.3130838","ARC (Australian Research Council) Discovery(grant numbers:DP180101170,DP190101271); Shenzhen Science and Technology Program(grant numbers:KQTD2016112514355531); Program for Guangdong Introducing Innovative and Entrepreneurial Teams(grant numbers:2017ZT07X386); Program for University Key Laboratory of Guangdong Province(grant numbers:2017KSYS008); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9627116","Black-box optimization;evolutionary optimization;large-scale global optimization;metaheuristics","Optimization;Couplings;Search problems;Genetic algorithms;Scalability;Memetics;Buildings","evolutionary computation;learning (artificial intelligence);metaheuristics;search problems","problem decomposition;memetic algorithms;decision variables;high-dimensional machine learning;large-scale engineering problems;large-scale black-box global optimization;population-based metaheuristics","","16","","228","CCBY","25 Nov 2021","","","IEEE","IEEE Journals"
"A Review of Population-Based Metaheuristics for Large-Scale Black-Box Global Optimization—Part II","M. N. Omidvar; X. Li; X. Yao","School of Computing and Leeds University Business School, University of Leeds, Leeds, U.K.; School of Computing Technologies, RMIT University, Melbourne, VIC, Australia; Department of Computer Science and Engineering, Guangdong Provincial Key Laboratory of Brain-Inspired Intelligent Computation, Southern University of Science and Technology, Shenzhen, China","IEEE Transactions on Evolutionary Computation","30 Sep 2022","2022","26","5","823","843","This article is the second part of a two-part survey series on large-scale global optimization. The first part covered two major algorithmic approaches to large-scale optimization, namely, decomposition methods and hybridization methods, such as memetic algorithms and local search. In this part, we focus on sampling and variation operators, approximation and surrogate modeling, initialization methods, and parallelization. We also cover a range of problem areas in relation to large-scale global optimization, such as multiobjective optimization, constraint handling, overlapping components, the component imbalance issue and benchmarks, and applications. The article also includes a discussion on pitfalls and challenges of the current research and identifies several potential areas of future research.","1941-0026","","10.1109/TEVC.2021.3130835","Australian Research Council (ARC) Discovery(grant numbers:DP180101170,DP190101271); Shenzhen Science and Technology Program(grant numbers:KQTD2016112514355531); Program for Guangdong Introducing Innovative and Entrepreneurial Teams(grant numbers:2017ZT07X386); Program for University Key Laboratory of Guangdong Province(grant numbers:2017KSYS008); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9627138","Black-box optimization;evolutionary optimization;large-scale global optimization;metaheuristics","Optimization;Statistics;Sociology;Convergence;Approximation algorithms;Particle swarm optimization;Maintenance engineering","metaheuristics;search problems","decomposition methods;hybridization methods;memetic algorithms;initialization methods;multiobjective optimization;population-based metaheuristics;large-scale black-box global optimization","","18","","256","CCBY","25 Nov 2021","","","IEEE","IEEE Journals"
"Multisource Heterogeneous User-Generated Contents-Driven Interactive Estimation of Distribution Algorithms for Personalized Search","L. Bao; X. Sun; D. Gong; Y. Zhang","School of Electronics and Information, Jiangsu University of Science and Technology, Zhenjiang, China; School of Information and Control Engineering, China University of Mining and Technology, Xuzhou, China; School of Information and Control Engineering, China University of Mining and Technology, Xuzhou, China; School of Information and Control Engineering, China University of Mining and Technology, Xuzhou, China","IEEE Transactions on Evolutionary Computation","30 Sep 2022","2022","26","5","844","858","Personalized search is essentially a complex qualitative optimization problem, and interactive evolutionary algorithms (EAs) have been extended from EAs to adapt to solving it. However, the multisource user-generated contents (UGCs) in the personalized services have not been concerned on in the adaptation. Accordingly, we here present an enhanced restricted Boltzmann machine (RBM)-driven interactive estimation of distribution algorithms (IEDAs) with multisource heterogeneous data from the viewpoint of effectively extracting users’ preferences and requirements from UGCs to strengthen the performance of IEDA for personalized search. The multisource heterogeneous UGCs, including users’ ratings and reviews, items’ category tags, social networks, and other available information, are sufficiently collected and represented to construct an RBM-based model to extract users’ comprehensive preferences. With this RBM, the probability model for conducting the reproduction operator of estimation of distribution algorithms (EDAs) and the surrogate for quantitatively evaluating an individual (item) fitness are further developed to enhance the EDA-based personalized search. The UGCs-driven IEDA is applied to various publicly released Amazon datasets, e.g., recommendation of Digital Music, Apps for Android, Movies, and TV, to experimentally demonstrate its performance in efficiently improving the IEDA in personalized search with less interactions and higher satisfaction.","1941-0026","","10.1109/TEVC.2021.3109576","National Natural Science Foundation of China(grant numbers:61876184,61473298); Key Program of National Natural Science Foundation of China(grant numbers:62133015); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9527313","Estimation of distribution algorithm (EDA);interactive;multisource heterogeneous user-generated contents (UGCs);personalized search;restricted Boltzmann machine (RBM)","Search problems;Computational modeling;Optimization;Estimation;User-generated content;Evolutionary computation;Videos","Boltzmann machines;evolutionary computation;music;optimisation;probability;recommender systems;social networking (online)","multisource heterogeneous user-generated contents;distribution algorithms;complex qualitative optimization problem;interactive evolutionary algorithms;EAs;multisource user-generated contents;personalized services;enhanced restricted Boltzmann machine-driven interactive estimation;multisource heterogeneous data;users;multisource heterogeneous UGCs;RBM-based model;EDA-based personalized search;UGCs-driven IEDA","","7","","64","IEEE","2 Sep 2021","","","IEEE","IEEE Journals"
"An Enhanced Competitive Swarm Optimizer With Strongly Convex Sparse Operator for Large-Scale Multiobjective Optimization","X. Wang; K. Zhang; J. Wang; Y. Jin","College of Science, China University of Petroleum (East China), Qingdao, China; School of Petroleum Engineering, China University of Petroleum (East China), Qingdao, China; College of Science, China University of Petroleum (East China), Qingdao, China; Department of Computer Science, University of Surrey, Guildford, U.K","IEEE Transactions on Evolutionary Computation","30 Sep 2022","2022","26","5","859","871","Sparse multiobjective optimization problems (MOPs) have become increasingly important in many applications in recent years, e.g., the search for lightweight deep neural networks and high-dimensional feature selection. However, little attention has been paid to sparse large-scale MOPs, whose Pareto-optimal sets are sparse, i.e., with many decision variables equal to zero. To address this issue, this article proposes an enhanced competitive swarm optimization algorithm assisted by a strongly convex sparse operator (SCSparse). A tricompetition mechanism is introduced into competitive swarm optimization, aiming to strike a better balance between exploration and exploitation. In addition, the SCSparse is embedded in the position updating of the particles to generate sparse solutions. Our simulation results show that the proposed algorithm outperforms the state-of-the-art methods on both sparse test problems and application examples.","1941-0026","","10.1109/TEVC.2021.3111209","National Key Research and Development Program of China(grant numbers:2018AAA0100100); National Natural Science Foundation of China(grant numbers:62173345); Source Innovation Scientific and Incubatio Project of Qingdao(grant numbers:2020-88); Fundamental Research Funds for the Central Universities(grant numbers:20CX05002A,20CX05012A); Major Scientific and Technological Projects of China National Petroleum Corporation (CNPC)(grant numbers:ZD2019-183-008); China University of Petroleum (East China) Postgraduate Innovation Project(grant numbers:YCX2021146); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9531955","Competitive swarm optimizer (CSO);large-scale multiobjective optimization problems (MOPs);sparse Pareto-optimal solutions;strongly convex sparse","Optimization;Convergence;Petroleum;Search problems;Pareto optimization;Sociology;Particle swarm optimization","Pareto optimisation;particle swarm optimisation","sparse multiobjective optimization problems;lightweight deep neural networks;high-dimensional feature selection;MOPs;Pareto-optimal sets;competitive swarm optimization algorithm;strongly convex sparse operator;sparse test problems;large-scale multiobjective optimization;decision variables","","21","","49","IEEE","9 Sep 2021","","","IEEE","IEEE Journals"
"Investigating the Correlation Amongst the Objective and Constraints in Gaussian Process-Assisted Highly Constrained Expensive Optimization","R. Jiao; B. Xue; M. Zhang","School of Engineering and Computer Science, Victoria University of Wellington, Wellington, New Zealand; School of Engineering and Computer Science, Victoria University of Wellington, Wellington, New Zealand; School of Engineering and Computer Science, Victoria University of Wellington, Wellington, New Zealand","IEEE Transactions on Evolutionary Computation","30 Sep 2022","2022","26","5","872","885","Expensive constrained optimization refers to problems where the calculation of the objective and/or constraint functions are computationally intensive due to the involvement of complex physical experiments or numerical simulations. Such expensive problems can be addressed by Gaussian process-assisted evolutionary algorithms. In many problems, the (single) objective and constraints are correlated to some extent. Unfortunately, existing works based on the Gaussian process for expensive constrained optimization treat the objective and multiple constraints as being statistically independent, typically for the ease of computation. To fill this gap, this article investigates the correlation among the objective and constraints. To be specific, we model the correlation amongst the objective and constraint functions using a multitask Gaussian process prior, and then mathematically derive a constrained expected improvement acquisition function that allows the correlation among the objective and constraints. The correlation between the objective and constraints can be captured and leveraged during the optimization process. The performance of the proposed method is examined on a set of benchmark problems and a real-world antenna design problem. On problems with high correlation amongst the objective and constraints, the experimental results show that leveraging the correlation yields improvements in both the optimization speed and the constraint-handling ability compared with the method that assumes the objective and constraints are statistically independent.","1941-0026","","10.1109/TEVC.2021.3120980","Marsden Fund of New Zealand Government(grant numbers:MFP-VUW1913,MFP-VUW1914); Science for Technological Innovation Challenge (SfTI)(grant numbers:2019-S7-CRS); MBIE Data Science SSIF Fund(grant numbers:RTVU1914); MBIE Research Program(grant numbers:C11X2001 (PFR No. 39186)); NZSQ Data Science Catalyst Program(grant numbers:2021-37-004A); University Research Fund at Victoria University of Wellington(grant numbers:223805/3986); National Natural Science Foundation of China (NSFC)(grant numbers:61876169); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9580458","Constrained optimization;expected improvement (EI);expensive optimization;multitask Gaussian process","Optimization;Correlation;Gaussian processes;Bayes methods;Antennas;Uncertainty;Data models","constraint handling;evolutionary computation;Gaussian processes","complex physical experiments;Gaussian process-assisted highly constrained expensive optimization;objective constraints;constraint-handling ability;real-world antenna design problem;benchmark problems;multitask Gaussian process;constraint functions;objective functions;expensive constrained optimization;Gaussian process-assisted evolutionary algorithms","","8","","67","IEEE","19 Oct 2021","","","IEEE","IEEE Journals"
"A Diversity-Enhanced Subset Selection Framework for Multimodal Multiobjective Optimization","Y. Peng; H. Ishibuchi","Department of Computer Science and Engineering, Guangdong Provincial Key Laboratory of Brain-Inspired Intelligent Computation, Southern University of Science and Technology, Shenzhen, China; Department of Computer Science and Engineering, Guangdong Provincial Key Laboratory of Brain-Inspired Intelligent Computation, Southern University of Science and Technology, Shenzhen, China","IEEE Transactions on Evolutionary Computation","30 Sep 2022","2022","26","5","886","900","Multimodality is commonly seen in real-world multiobjective optimization problems (MOPs). In such optimization problems, namely, multimodal MOPs (MMOPs), multiple decision vectors can be projected to the same solution in the objective space (i.e., there are multiple implementations corresponding to that solution). Therefore, the diversity in the decision space is very important for the decision maker when tackling MMOPs. Subset selection methods have been widely used in the field of evolutionary multiobjective optimization for selecting well-distributed solutions (in the objective space) to be presented to the decision maker. However, since most subset selection methods do not consider the diversity of solutions in the decision space, they are not suitable for MMOPs. In this article, we aim to clearly demonstrate the usefulness of subset selection for multimodal multiobjective optimization. We propose a novel subset selection framework that can be easily integrated into existing multimodal multiobjective optimization algorithms. By selecting a prespecified number of solutions with good diversity in both the objective and decision spaces from all the examined solutions, the proposed framework significantly improves the performance of state-of-the-art multimodal multiobjective optimization algorithms on various test problems.","1941-0026","","10.1109/TEVC.2021.3117702","National Natural Science Foundation of China(grant numbers:61876075); Guangdong Provincial Key Laboratory(grant numbers:2020B121201001); Program for Guangdong Introducing Innovative and Enterpreneurial Teams(grant numbers:2017ZT07X386); The Stable Support Plan Program of Shenzhen Natural Science Fund(grant numbers:20200925174447003); Shenzhen Science and Technology Program(grant numbers:KQTD2016112514355531); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9559411","Decision space diversity;multimodal multiobjective optimization;objective space diversity;subset selection","Optimization;Evolutionary computation;Search problems;Standards;Spatial diversity;Maintenance engineering;Linear programming","decision making;evolutionary computation;operations research;optimisation;set theory;vectors","decision spaces;multimodal multiobjective optimization algorithms;diversity-enhanced subset selection framework;real-world multiobjective optimization problems;multiple decision vectors;objective space;decision maker;MMOPs;subset selection methods;evolutionary multiobjective optimization;multimodal MOPs","","10","","51","IEEE","5 Oct 2021","","","IEEE","IEEE Journals"
"Memristor Parallel Computing for a Matrix-Friendly Genetic Algorithm","Y. Yu; J. Mo; Q. Deng; C. Zhou; B. Li; X. Wang; N. Yang; Q. Tang; X. Feng","School of Information and Software Engineering, University of Electronic Science and Technology of China, Chengdu, China; School of Information and Software Engineering, University of Electronic Science and Technology of China, Chengdu, China; School of Information and Software Engineering, University of Electronic Science and Technology of China, Chengdu, China; School of Information and Software Engineering, University of Electronic Science and Technology of China, Chengdu, China; School of Information and Software Engineering, University of Electronic Science and Technology of China, Chengdu, China; School of Information and Software Engineering, University of Electronic Science and Technology of China, Chengdu, China; School of Information and Software Engineering, University of Electronic Science and Technology of China, Chengdu, China; School of Information and Software Engineering, University of Electronic Science and Technology of China, Chengdu, China; School of Information and Software Engineering, University of Electronic Science and Technology of China, Chengdu, China","IEEE Transactions on Evolutionary Computation","30 Sep 2022","2022","26","5","901","910","Matrix operation is easy to be paralleled by hardware, and the memristor network can realize a parallel matrix computing model with in-memory computing. This article proposes a matrix-friendly genetic algorithm (MGA), in which the population is represented by a matrix and the evolution of population is realized by matrix operations. Compared with the performance of a baseline genetic algorithm (GA) on solving the maximum value of the binary function, MGA can converge better and faster. In addition, MGA is more efficient because of its parallelism on matrix operations, and MGA runs 2.5 times faster than the baseline GA when using the NumPy library. Considering the advantages of the memristor in matrix operations, memristor circuits are designed for the deployment of MGA. This deployment method realizes the parallelization and in-memory computing (memristor is both memory and computing unit) of MGA. In order to verify the effectiveness of this deployment, a feature selection experiment of logistic regression (LR) on Sonar datasets is completed. LR with MGA-based feature selection uses 46 fewer features and achieves 11.9% higher accuracy.","1941-0026","","10.1109/TEVC.2022.3144419","Research Fund for International Young Scientists of National Natural Science Foundation of China (NSFC)(grant numbers:61550110248); Research on Fundamental Theory of Shared Intelligent Street Lamp for New Scene Service(grant numbers:H04W200495); Sichuan Science and Technology Program(grant numbers:2019YFG0190); Research on Sino-Tibetan multisource information acquisition, fusion, data mining and its application(grant numbers:H04W170186); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9687670","Feature selection;genetic algorithms (GAs);memristors;parallel computing","Biological cells;Genetic algorithms;Memristors;Statistics;Sociology;Parallel processing;Computational modeling","feature selection;genetic algorithms;matrix algebra;memristors;parallel processing","memristor parallel computing;matrix-friendly genetic algorithm;matrix operation;memristor network;in-memory computing;baseline genetic algorithm;MGA-based feature selection;parallel matrix computing;NumPy library","","4","","52","IEEE","21 Jan 2022","","","IEEE","IEEE Journals"
"Evolutionary Search With Multiview Prediction for Dynamic Multiobjective Optimization","W. Zhou; L. Feng; K. C. Tan; M. Jiang; Y. Liu","College of Computer Science, Chongqing University, Chongqing, China; College of Computer Science, Chongqing University, Chongqing, China; Department of Computing, Hong Kong Polytechnic University, Hung Hom, Hong Kong SAR; Department of Cognitive Science and Technology and the Fujian Key Laboratory of Machine Intelligence and Robotics, Xiamen University, Xiamen, China; Joint NTU-UBC Research Centre of Excellence in Active Living for the Elderly, Nanyang Technological University, Jurong West, Singapore","IEEE Transactions on Evolutionary Computation","30 Sep 2022","2022","26","5","911","925","Dynamic multiobjective optimization problem (DMOP) denotes the multiobjective optimization problem which varies over time. As changes in DMOP may exist some patterns that are predictable, to solve DMOP, a number of research efforts have been made to develop evolutionary search with prediction approaches to estimate the changes of the problem. A common practice of existing prediction approaches is to predict the change of Pareto-optimal solutions (POS) based on the historical solutions obtained in the decision space. However, the change of a DMOP may occur in both decision and objective spaces. Prediction only in the decision space thus may not be able to give the proper estimation of the problem change. Taking this cue, in this article, we propose an evolutionary search with multiview prediction for solving DMOP. In contrast to existing prediction methods, the proposed approach conducts prediction from the views of both decision and objective spaces. To estimate dynamic changes in DMOP, a kernelized autoencoding model is derived to perform the multiview prediction in a reproducing kernel Hilbert space (RKHS), which holds a closed-form solution. To examine the performance of the proposed method, comprehensive empirical studies on the commonly used DMOP benchmarks, as well as a real-world case study on the movie recommendation problem, are presented. The obtained experimental results verified the efficacy of the proposed method for solving both benchmark and real-world DMOPs.","1941-0026","","10.1109/TEVC.2021.3135020","National Natural Science Foundation of China (NSFC)(grant numbers:61876025,61876162,61673328); Venture & Innovation Support Program for Chongqing Overseas Returnees(grant numbers:cx2018044,cx2019020); Research Grants Council of the Hong Kong SAR(grant numbers:PolyU11202418,PolyU11209219); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9650552","Dynamic multiobjective optimization;evolutionary search;prediction-based method","Optimization;Optical fibers;Statistics;Sociology;Predictive models;Heuristic algorithms;Prediction algorithms","decision theory;evolutionary computation;Hilbert spaces;Pareto optimisation","problem change;evolutionary search;multiview prediction;DMOP;objective spaces;dynamic changes;reproducing kernel Hilbert space;movie recommendation problem;dynamic multiobjective optimization problem;Pareto-optimal solutions;decision space;kernelized autoencoding model;RKHS;closed-form solution","","8","","53","IEEE","14 Dec 2021","","","IEEE","IEEE Journals"
