"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Table of contents","",,"IEEE Transactions on Evolutionary Computation","29 Jul 2021","2021","25","4","C1","C1","Presents the table of contents for this issue of the publication.","1941-0026","","10.1109/TEVC.2021.3096575","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9501050","","","","","","","","","IEEE","29 Jul 2021","","","IEEE","IEEE Journals"
"IEEE Transactions on Evolutionary Computation Publication Information","",,"IEEE Transactions on Evolutionary Computation","29 Jul 2021","2021","25","4","C2","C2","Provides a listing of current staff, committee members and society officers.","1941-0026","","10.1109/TEVC.2021.3097816","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9501049","","","","","","","","","IEEE","29 Jul 2021","","","IEEE","IEEE Journals"
"A Survey of Evolutionary Continuous Dynamic Optimization Over Two Decades—Part A","D. Yazdani; R. Cheng; D. Yazdani; J. Branke; Y. Jin; X. Yao","Department of Computer Science and Engineering, Guangdong Provincial Key Laboratory of Brain-Inspired Intelligent Computation, Southern University of Science and Technology, Shenzhen, China; Department of Computer Science and Engineering, Guangdong Provincial Key Laboratory of Brain-Inspired Intelligent Computation, Southern University of Science and Technology, Shenzhen, China; Department of Computer Science, Advanced Reasoning Group, Aberystwyth University, Aberystwyth, U.K.; Operational Research and Management Sciences Group in Warwick Business school, University of Warwick, Coventry, U.K.; Department of Computer Science, University of Surrey, Guildford, U.K.; Department of Computer Science and Engineering, Guangdong Provincial Key Laboratory of Brain-Inspired Intelligent Computation, Southern University of Science and Technology, Shenzhen, China","IEEE Transactions on Evolutionary Computation","29 Jul 2021","2021","25","4","609","629","Many real-world optimization problems are dynamic. The field of dynamic optimization deals with such problems where the search space changes over time. In this two-part article, we present a comprehensive survey of the research in evolutionary dynamic optimization for single-objective unconstrained continuous problems over the last two decades. In Part A of this survey, we propose a new taxonomy for the components of dynamic optimization algorithms (DOAs), namely, convergence detection, change detection, explicit archiving, diversity control, and population division and management. In comparison to the existing taxonomies, the proposed taxonomy covers some additional important components, such as convergence detection and computational resource allocation. Moreover, we significantly expand and improve the classifications of diversity control and multipopulation methods, which are underrepresented in the existing taxonomies. We then provide detailed technical descriptions and analysis of different components according to the suggested taxonomy. Part B of this survey provides an in-depth analysis of the most commonly used benchmark problems, performance analysis methods, static optimization algorithms used as the optimization components in the DOAs, and dynamic real-world applications. Finally, several opportunities for future work are pointed out.","1941-0026","","10.1109/TEVC.2021.3060014","Shenzhen Peacock Plan(grant numbers:KQTD2016112514355531); Guangdong Provincial Key Laboratory(grant numbers:2020B121201001); National Natural Science Foundation of China(grant numbers:61903178,61906081,U20A20306); Program for Guangdong Introducing Innovative and Enterpreneurial Teams(grant numbers:2017ZT07X386); Program for University Key Laboratory of Guangdong Province(grant numbers:2017KSYS008); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9356715","Change detection;evolutionary algorithms (EA);multipopulation;response component;taxonomy;unconstrained continuous dynamic optimization","Heuristic algorithms;Taxonomy;Sociology;Benchmark testing;Search problems;Classification algorithms;Resource management","evolutionary computation;resource allocation;search problems","static optimization algorithms;computational resource allocation;population division;convergence detection;DOAs;dynamic optimization algorithms;single-objective unconstrained continuous problems;evolutionary dynamic optimization;search space;evolutionary continuous dynamic optimization","","34","","137","IEEE","18 Feb 2021","","","IEEE","IEEE Journals"
"A Survey of Evolutionary Continuous Dynamic Optimization Over Two Decades—Part B","D. Yazdani; R. Cheng; D. Yazdani; J. Branke; Y. Jin; X. Yao","Department of Computer Science and Engineering, Guangdong Provincial Key Laboratory of Brain-inspired Intelligent Computation, Southern University of Science and Technology, Shenzhen, China; Department of Computer Science and Engineering, Guangdong Provincial Key Laboratory of Brain-inspired Intelligent Computation, Southern University of Science and Technology, Shenzhen, China; Department of Computer Science, Advanced Reasoning Group, Aberystwyth University, Aberystwyth, U.K.; Operational Research and Management Sciences Group, Warwick Business School, University of Warwick, Coventry, U.K.; Department of Computer Science, University of Surrey, Guildford, U.K.; Department of Computer Science and Engineering, Guangdong Provincial Key Laboratory of Brain-inspired Intelligent Computation, Southern University of Science and Technology, Shenzhen, China","IEEE Transactions on Evolutionary Computation","29 Jul 2021","2021","25","4","630","650","This article presents the second Part of a two-Part survey that reviews evolutionary dynamic optimization (EDO) for single-objective unconstrained continuous problems over the last two decades. While in the first part, we reviewed the components of dynamic optimization algorithms (DOAs); in this part, we present an in-depth review of the most commonly used benchmark problems, performance analysis methods, static optimization methods used in the framework of DOAs, and real-world applications. Compared to the previous works, this article provides a new taxonomy for the benchmark problems used in the field based on their baseline functions and dynamics. In addition, this survey classifies the commonly used performance indicators into fitness/error-based and efficiency-based ones. Different types of plots used in the literature for analyzing the performance and behavior of algorithms are also reviewed. Furthermore, the static optimization algorithms that are modified and utilized in the framework of DOAs as the optimization components are covered. We then comprehensively review some real-world dynamic problems that are optimized by EDO methods. Finally, some challenges and opportunities are pointed out for future directions.","1941-0026","","10.1109/TEVC.2021.3060012","Shenzhen Peacock Plan(grant numbers:KQTD2016112514355531); Guangdong Provincial Key Laboratory(grant numbers:2020B121201001); National Natural Science Foundation of China(grant numbers:61903178,61906081,U20A20306); Program for Guangdong Introducing Innovative and Enterpreneurial Teams(grant numbers:2017ZT07X386); Program for University Key Laboratory of Guangdong Province(grant numbers:2017KSYS008); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9356720","Continuous dynamic real-world problems;dynamic benchmark problems;evolutionary algorithms;future directions;performance indicators;unconstrained continuous dynamic optimization","Benchmark testing;Optimization;Heuristic algorithms;Generators;Computer science;Performance analysis;Optimization methods","evolutionary computation;optimisation","benchmark problems;performance analysis methods;DOA;static optimization algorithms;real-world dynamic problems;EDO methods;evolutionary continuous dynamic optimization;single-objective unconstrained continuous problems;dynamic optimization algorithms","","32","","262","IEEE","18 Feb 2021","","","IEEE","IEEE Journals"
"Surrogate-Assisted Evolutionary Multitask Genetic Programming for Dynamic Flexible Job Shop Scheduling","F. Zhang; Y. Mei; S. Nguyen; M. Zhang; K. C. Tan","Evolutionary Computation Research Group, School of Engineering and Computer Science, Victoria University of Wellington, Wellington, New Zealand; Evolutionary Computation Research Group, School of Engineering and Computer Science, Victoria University of Wellington, Wellington, New Zealand; Centre for Data Analytics and Cognition, La Trobe University, Melbourne, VIC, Australia; Evolutionary Computation Research Group, School of Engineering and Computer Science, Victoria University of Wellington, Wellington, New Zealand; Department of Computing, Hong Kong Polytechnic University, Hong Kong","IEEE Transactions on Evolutionary Computation","29 Jul 2021","2021","25","4","651","665","Dynamic flexible job shop scheduling (JSS) is an important combinatorial optimization problem with complex routing and sequencing decisions under dynamic environments. Genetic programming (GP), as a hyperheuristic approach, has been successfully applied to evolve scheduling heuristics for JSS. However, its training process is time consuming, and it faces the retraining problem once the characteristics of job shop scenarios vary. It is known that multitask learning is a promising paradigm for solving multiple tasks simultaneously by sharing knowledge among the tasks. To improve the training efficiency and effectiveness, this article proposes a novel surrogate-assisted evolutionary multitask algorithm via GP to share useful knowledge between different scheduling tasks. Specifically, we employ the phenotypic characterization for measuring the behaviors of scheduling rules and building a surrogate for each task accordingly. The built surrogates are used not only to improve the efficiency of solving each single task but also for knowledge transfer in multitask learning with a large number of promising individuals. The results show that the proposed algorithm can significantly improve the quality of scheduling heuristics for all scenarios. In addition, the proposed algorithm manages to solve multiple tasks collaboratively in terms of the evolved scheduling heuristics for different tasks in a multitask scenario.","1941-0026","","10.1109/TEVC.2021.3065707","Marsden Fund of New Zealand Government(grant numbers:VUW1509,VUW1614); Science for Technological Innovation Challenge Fund(grant numbers:E3603/2903); MBIE SSIF Fund(grant numbers:VUW RTVU1914); China Scholarship Council/Victoria University of Wellington Joint Ph.D. Scholarships; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9377470","Dynamic flexible job shop scheduling (DFJSS);genetic programming (GP);hyperheuristics;multitask learning;surrogate","Task analysis;Job shop scheduling;Dynamic scheduling;Heuristic algorithms;Processor scheduling;Sequential analysis;Statistics","evolutionary computation;genetic algorithms;job shop scheduling","combinatorial optimization problem;JSS;multitask learning;scheduling rules;scheduling heuristics;multitask scenario;surrogate-assisted evolutionary multitask genetic programming;dynamic flexible job shop scheduling;surrogate-assisted evolutionary multitask algorithm","","76","","56","IEEE","12 Mar 2021","","","IEEE","IEEE Journals"
"Learning Adaptive Differential Evolution Algorithm From Optimization Experiences by Policy Gradient","J. Sun; X. Liu; T. Bäck; Z. Xu","School of Mathematics and Statistics, Xi’an Jiaotong University, Xi’an, China; School of Mathematics and Statistics, Xi’an Jiaotong University, Xi’an, China; Leiden Institute of Advanced Computer Science, Leiden University, Leiden, RA, The Netherlands; School of Mathematics and Statistics, Xi’an Jiaotong University, Xi’an, China","IEEE Transactions on Evolutionary Computation","29 Jul 2021","2021","25","4","666","680","Differential evolution is one of the most prestigious population-based stochastic optimization algorithm for black-box problems. The performance of a differential evolution algorithm depends highly on its mutation and crossover strategy and associated control parameters. However, the determination process for the most suitable parameter setting is troublesome and time consuming. Adaptive control parameter methods that can adapt to problem landscape and optimization environment are more preferable than fixed parameter settings. This article proposes a novel adaptive parameter control approach based on learning from the optimization experiences over a set of problems. In the approach, the parameter control is modeled as a finite-horizon Markov decision process. A reinforcement learning algorithm, named policy gradient, is applied to learn an agent (i.e., parameter controller) that can provide the control parameters of a proposed differential evolution adaptively during the search procedure. The differential evolution algorithm based on the learned agent is compared against nine well-known evolutionary algorithms on the CEC'13 and CEC'17 test suites. Experimental results show that the proposed algorithm performs competitively against these compared algorithms on the test suites.","1941-0026","","10.1109/TEVC.2021.3060811","National Natural Science Foundation of China(grant numbers:11991023,62076197); Major Project of National Science Foundation of China(grant numbers:U1811461); Key Project of National Science Foundation of China(grant numbers:11690011); Project of National Science Foundation of China(grant numbers:61721002); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9359652","Adaptive differential evolution;deep learning;global optimization;policy gradient (PG);reinforcement learning (RL)","Statistics;Sociology;Optimization;Process control;Deep learning;Reinforcement learning;Convergence","adaptive control;evolutionary computation;learning (artificial intelligence);Markov processes;optimisation","evolutionary algorithms;adaptive differential evolution algorithm;optimization experiences;prestigious population-based stochastic optimization algorithm;black-box problems;mutation;crossover strategy;associated control parameters;suitable parameter setting;adaptive control parameter methods;problem landscape;optimization environment;fixed parameter settings;novel adaptive parameter control approach;finite-horizon Markov decision process;reinforcement learning algorithm;named policy gradient;parameter controller;learned agent","","37","","65","IEEE","19 Feb 2021","","","IEEE","IEEE Journals"
"On the Effect of the Cooperation of Indicator-Based Multiobjective Evolutionary Algorithms","J. G. Falcón-Cardona; H. Ishibuchi; C. A. Coello Coello; M. Emmerich","Computer Science Department, CINVESTAV-IPN, Mexico City, Mexico; Department of Computer Science and Engineering, Southern University of Science and Technology, Shenzhen, China; Computer Science Department, CINVESTAV-IPN, Mexico City, Mexico; Multiobjective Optimization and Decision Analysis Group, Leiden Institute of Advanced Computer Science, Leiden, The Netherlands","IEEE Transactions on Evolutionary Computation","29 Jul 2021","2021","25","4","681","695","For almost 20 years, quality indicators (QIs) have promoted the design of new selection mechanisms of multiobjective evolutionary algorithms (MOEAs). Each indicator-based MOEA (IB-MOEA) has specific search preferences related to its baseline QI, producing Pareto front approximations with different properties. In consequence, an IB-MOEA based on a single QI has a limited scope of multiobjective optimization problems (MOPs) in which it is expected to have a good performance. This issue is emphasized when the associated Pareto front geometries are highly irregular. In order to overcome these issues, we propose here an island-based multiindicator algorithm (IMIA) that takes advantage of the search biases of multiple IB-MOEAs through a cooperative scheme. Our experimental results show that the cooperation of multiple IB-MOEAs allows IMIA to perform more robustly (considering several QIs) than the panmictic versions of its baseline IB-MOEAs as well as several state-of-the-art MOEAs. Additionally, IMIA shows a Pareto-front-shape invariance property, which makes it a remarkable optimizer when tackling MOPs with complex Pareto front geometries.","1941-0026","","10.1109/TEVC.2021.3061545","CONACyT(grant numbers:1920); 2018 SEP-Cinvestav Grant (application no. 4); Basque Government through the Program by the Spanish Ministry of Science(grant numbers:BERC 2018–2021); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9360871","Island model;multiobjective optimization;quality indicators (QIs);selection mechanism","Optimization;Shape;Geometry;Convergence;Computer science;Steady-state;Evolutionary computation","evolutionary computation;Pareto optimisation;search problems","indicator-based multiobjective evolutionary algorithms;quality indicators;QIs;selection mechanisms;indicator-based MOEA;IB-MOEA;search preferences;Pareto front approximations;multiobjective optimization problems;Pareto front geometries;island-based multiindicator algorithm;IMIA;search biases;multiple IB-MOEAs;baseline IB-MOEAs;Pareto-front-shape invariance property","","15","","52","IEEE","23 Feb 2021","","","IEEE","IEEE Journals"
"Analysis of Evolutionary Algorithms on Fitness Function With Time-Linkage Property","W. Zheng; H. Chen; X. Yao","Department of Computer Science and Engineering, Guangdong Provincial Key Laboratory of Brain-Inspired Intelligent Computation, Research Institute of Trustworthy Autonomous Systems, Southern University of Science and Technology, Shenzhen, China; School of Computer Science and Technology, University of Science and Technology of China, Hefei, China; Department of Computer Science and Engineering, Guangdong Provincial Key Laboratory of Brain-Inspired Intelligent Computation, Research Institute of Trustworthy Autonomous Systems, Southern University of Science and Technology, Shenzhen, China","IEEE Transactions on Evolutionary Computation","29 Jul 2021","2021","25","4","696","709","In real-world applications, many optimization problems have the time-linkage property, that is, the objective function value relies on the current solution as well as the historical solutions. Although the rigorous theoretical analysis on evolutionary algorithms (EAs) has rapidly developed in recent two decades, it remains an open problem to theoretically understand the behaviors of EAs on time-linkage problems. This article takes the first step to rigorously analyze EAs for time-linkage functions. Based on the basic OneMax function, we propose a time-linkage function where the first bit value of the last time step is integrated but has a different preference from the current first bit. We prove that with probability 1-o(1), randomized local search and (1 + 1) EA cannot find the optimum, and with probability 1-o(1), (μ+1) EA is able to reach the optimum.","1941-0026","","10.1109/TEVC.2021.3061442","Guangdong Basic and Applied Basic Research Foundation(grant numbers:2019A1515110177); Guangdong Provincial Key Laboratory(grant numbers:2020B121201001); Program for Guangdong Introducing Innovative and Enterpreneurial Teams(grant numbers:2017ZT07X386); Shenzhen Science and Technology Program(grant numbers:KQTD2016112514355531); Program for University Key Laboratory of Guangdong Province(grant numbers:2017KSYS008); National Natural Science Foundation of China(grant numbers:61976111); Science and Technology Innovation Committee Foundation of Shenzhen(grant numbers:JCYJ20180504165652917); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9360867","Convergence;evolutionary algorithms (EAs);running time analysis;time linkage","Optimization;Evolutionary computation;Dynamic scheduling;Couplings;Linear programming;Computer science;Benchmark testing","evolutionary computation;optimisation;probability;search problems","EAs;open problem;time-linkage problems;time-linkage function;OneMax function;evolutionary algorithms;fitness function;time-linkage property;optimization problems;objective function value;probability;randomized local search","","6","","29","CCBY","23 Feb 2021","","","IEEE","IEEE Journals"
"Ensemble of Dynamic Resource Allocation Strategies for Decomposition-Based Multiobjective Optimization","J. Zhou; L. Gao; X. Li","School of Computer Science, China University of Geosciences, Wuhan, China; State Key Laboratory of Digital Manufacturing Equipment and Technology, School of Mechanical Science and Engineering, Huazhong University of Science and Technology, Wuhan, China; State Key Laboratory of Digital Manufacturing Equipment and Technology, School of Mechanical Science and Engineering, Huazhong University of Science and Technology, Wuhan, China","IEEE Transactions on Evolutionary Computation","29 Jul 2021","2021","25","4","710","723","Evolutionary algorithms via decomposition, namely, DEAs, decompose the original challenging problem and evolve a number of subproblems/subspaces concurrently in a cooperative fashion. Adaptive computational resource allocation (CRA) strategy is able to identify the efficiency of different subspaces and invest search effort on them accordingly in an online manner. A crucial issue for CRA is to measure the efficiency of subspaces. Unfortunately, existing approaches for efficiency measurement are either fitness improvement oriented or contribution oriented, which struggle to capture the potentials of subspaces accurately. To mitigate such drawback, we present an ensemble method for CRA, based on the recent fitness contribution rates (FCRs) and fitness improvement rates (FIRs) of subspaces simultaneously. In order to dynamically track the potential of each subregion, we adopt two memory matrices to record FIR and FCR for multiple subspaces over recent generations, respectively. Afterward, an aptitude vector indicating the potentials of subspaces is defined by exploiting FCR and FIR with memory and decaying scheme. On the basis of above strategies, an ensemble CRA (ECRA) scheme is designed, which is then embedded into an adaptive objective space partition-based DEA, termed ECRA-DEA, for solving the multi/many-objective optimization. Extensive experimental studies for ECRA-DEA on various types of challenging problems have been carried out and the results confirm that ECRA is effective. Besides, the competence of ECRA-DEA is empirically validated in comparison with state-of-the-art designs. The proposed ECRA paves a new way to leverage the capability of DEAs on handling complex problems.","1941-0026","","10.1109/TEVC.2021.3060899","National Key Research and Development Program of China(grant numbers:2018AAA0101704); National Natural Science Foundation of China(grant numbers:51825502,51905198); China Postdoctoral Science Foundation(grant numbers:2019M652630,2020T130225); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9359650","Decomposition;dynamic resource allocating;ensemble;multiobjective optimization;objective space partition","Optimization;Finite impulse response filters;Resource management;Computational modeling;Convergence;Pareto optimization;Heuristic algorithms","evolutionary computation;optimisation;resource allocation","dynamic resource allocation strategies;decomposition-based multiobjective optimization;evolutionary algorithms;adaptive computational resource allocation strategy;search effort;fitness improvement;ensemble method;multiple subspaces;decaying scheme;ensemble CRA scheme;adaptive objective space partition-based DEA;ECRA-DEA","","12","","34","IEEE","19 Feb 2021","","","IEEE","IEEE Journals"
"Large-Scale Evolutionary Multiobjective Optimization Assisted by Directed Sampling","S. Qin; C. Sun; Y. Jin; Y. Tan; J. Fieldsend","School of Electronic Information Engineering, Taiyuan University of Science and Technology, Taiyuan, China; Department of Computer Science and Technology, Taiyuan University of Science and Technology, Taiyuan, China; Department of Computer Science, University of Surrey, Guildford, U.K.; Department of Computer Science and Technology, Taiyuan University of Science and Technology, Taiyuan, China; Department of Computer Science, University of Exeter, Exeter, U.K.","IEEE Transactions on Evolutionary Computation","29 Jul 2021","2021","25","4","724","738","It is particularly challenging for evolutionary algorithms to quickly converge to the Pareto front in large-scale multiobjective optimization. To tackle this problem, this article proposes a large-scale multiobjective evolutionary algorithm assisted by some selected individuals generated by directed sampling (DS). At each generation, a set of individuals closer to the ideal point is chosen for performing a DS in the decision space, and those nondominated ones of the sampled solutions are used to assist the reproduction to improve the convergence in evolutionary large-scale multiobjective optimization. In addition, elitist nondominated sorting is adopted complementarily for environmental selection with a reference vector-based method in order to maintain diversity of the population. Our experimental results show that the proposed algorithm is highly competitive on large-scale multiobjective optimization test problems with up to 5000 decision variables compared to five state-of-the-art multiobjective evolutionary algorithms.","1941-0026","","10.1109/TEVC.2021.3063606","National Natural Science Foundation of China(grant numbers:61876123); Fund Program for the Scientific Activities of Selected Returned Overseas Professionals in Shanxi Province, Shanxi Province Science Foundation for Youths(grant numbers:201801D121131); Shanxi Science and Technology Innovation project for Excellent Talents(grant numbers:201805D211028); Postgraduate Education Innovation Project of Shanxi Province(grant numbers:2019SY494); China Scholarship Council; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9367299","Directed sampling (DS);evolutionary multiobjective optimization;large-scale multiobjective problems (LSMOPs);nondominated sorting;reference vectors","Optimization;Statistics;Sociology;Search problems;Convergence;Sorting;Computer science","genetic algorithms;Pareto optimisation;sampling methods;vectors","directed sampling;Pareto front;decision space;elitist nondominated sorting;environmental selection;reference vector-based method;decision variables;evolutionary multiobjective optimization test problems","","57","","82","IEEE","3 Mar 2021","","","IEEE","IEEE Journals"
