"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Table of contents","",,"IEEE Transactions on Evolutionary Computation","29 Jan 2020","2020","24","1","C1","C1","Presents the table of contents for this issue of the publication.","1941-0026","","10.1109/TEVC.2020.2965984","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8974562","","","","","","","","","IEEE","29 Jan 2020","","","IEEE","IEEE Journals"
"IEEE Transactions on Evolutionary Computation publication information","",,"IEEE Transactions on Evolutionary Computation","29 Jan 2020","2020","24","1","C2","C2","Presents a listing of the editorial board, board of governors, current staff, committee members, and/or society editors for this issue of the publication.","1941-0026","","10.1109/TEVC.2020.2967827","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8974451","","","","","","","","","IEEE","29 Jan 2020","","","IEEE","IEEE Journals"
"Scaling Up Dynamic Optimization Problems: A Divide-and-Conquer Approach","D. Yazdani; M. N. Omidvar; J. Branke; T. T. Nguyen; X. Yao","University Key Laboratory of Evolving Intelligent Systems of Guangdong Province, Department of Computer Science and Engineering, Shenzhen Key Laboratory of Computational Intelligence, Southern University of Science and Technology, Shenzhen, China; CERCIA, School of Computer Science, University of Birmingham, Birmingham, U.K.; Operational Research and Management Sciences Group in Warwick Business School, University of Warwick, Coventry, U.K.; Department of Maritime and Mechanical Engineering, Liverpool John Moores University, Liverpool, U.K.; University Key Laboratory of Evolving Intelligent Systems of Guangdong Province, Department of Computer Science and Engineering, Shenzhen Key Laboratory of Computational Intelligence, Southern University of Science and Technology, Shenzhen, China","IEEE Transactions on Evolutionary Computation","29 Jan 2020","2020","24","1","1","15","Scalability is a crucial aspect of designing efficient algorithms. Despite their prevalence, large-scale dynamic optimization problems are not well studied in the literature. This paper is concerned with designing benchmarks and frameworks for the study of large-scale dynamic optimization problems. We start by a formal analysis of the moving peaks benchmark (MPB) and show its nonseparable nature irrespective of its number of peaks. We then propose a composite MPB suite with exploitable modularity covering a wide range of scalable partially separable functions suitable for the study of large-scale dynamic optimization problems. The benchmark exhibits modularity, heterogeneity, and imbalance features to resemble real-world problems. To deal with the intricacies of large-scale dynamic optimization problems, we propose a decomposition-based coevolutionary framework which breaks a large-scale dynamic optimization problem into a set of lower-dimensional components. A novel aspect of the framework is its efficient bi-level resource allocation mechanism which controls the budget assignment to components and the populations responsible for tracking multiple moving optima. Based on a comprehensive empirical study on a wide range of large-scale dynamic optimization problems with up to 200-D, we show the crucial role of problem decomposition and resource allocation in dealing with these problems. The experimental results clearly show the superiority of the proposed framework over three other approaches in solving large-scale dynamic optimization problems.","1941-0026","","10.1109/TEVC.2019.2902626","National Basic Research Program of China (973 Program)(grant numbers:2017YFC0804002,2017YFC0804003); Engineering and Physical Sciences Research Council(grant numbers:EP/J017515/1,EP/P005578/1); Program for Guangdong Introducing Innovative and Entrepreneurial Teams(grant numbers:2017ZT07X386); Shenzhen Peacock Plan(grant numbers:KQTD2016112514355531); Science and Technology Innovation Committee Foundation of Shenzhen(grant numbers:ZDSYS201703031748284); Program for University Key Laboratory of Guangdong Province(grant numbers:2017KSYS008); Royal Academy of Engineering(grant numbers:NRCP1617-6-125); RSSB-Funded(grant numbers:COF-INP-05); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8657680","Computational resource allocation;cooperative coevolutionary (CC);decomposition;dynamic optimization problems;large-scale optimization problems;multipopulation","Optimization;Heuristic algorithms;Benchmark testing;Resource management;Power system dynamics;Sociology;Statistics","divide and conquer methods;evolutionary computation;optimisation;resource allocation;search problems","dynamic optimization problems;large-scale dynamic optimization problem;divide-and-conquer approach;decomposition-based coevolutionary framework;multiple moving optima tracking;lower-dimensional components;resource allocation;problem decomposition","","37","","90","IEEE","3 Mar 2019","","","IEEE","IEEE Journals"
"Self-Regulated Evolutionary Multitask Optimization","X. Zheng; A. K. Qin; M. Gong; D. Zhou","School of Electronics and Information, Northwestern Polytechnical University, Xi’an, China; Department of Computer Science and Software Engineering, Swinburne University of Technology, Melbourne, Australia; Key Laboratory of Intelligent Perception and Image Understanding of Ministry of Education, Xidian University, Xi’an, China; School of Electronics and Information, Northwestern Polytechnical University, Xi’an, China","IEEE Transactions on Evolutionary Computation","29 Jan 2020","2020","24","1","16","28","Evolutionary multitask optimization (EMTO) is a newly emerging research area in the field of evolutionary computation. It investigates how to solve multiple optimization problems (tasks) at the same time via evolutionary algorithms (EAs) to improve on the performance of solving each task independently, assuming if some component tasks are related then the useful knowledge (e.g., promising candidate solutions) acquired during the process of solving one task may assist in (and also benefit from) solving the other tasks. In EMTO, task relatedness is typically unknown in advance and needs to be captured via EA's population. Since the population of an EA can only cover a subregion of the solution space and keeps evolving during the search, thus captured task relatedness is local and dynamic. The multifactorial EA (MFEA) is one of the most representative EMTO techniques, inspired by the bio-cultural model of multifactorial inheritance, which transmits both biological and cultural traits from the parents to the offspring. MFEA has succeeded in solving various multitask optimization (MTO) problems. However, the intensity of knowledge transfer in MFEA is determined via its algorithmic configuration without considering the degree of task relatedness, which may prevent the effective sharing and utilization of the useful knowledge acquired in related tasks. To address this issue, we propose a self-regulated EMTO (SREMTO) algorithm to automatically adapt the intensity of cross-task knowledge transfer to different and varying degrees of relatedness between different tasks as the search proceeds so that the useful knowledge in common for solving related tasks can be captured, shared, and utilized to a great extent. We compare SREMTO with MFEA and its variants as well as the single-task optimization counterpart of SREMTO on two MTO test suites, which demonstrates the superiority of SREMTO.","1941-0026","","10.1109/TEVC.2019.2904696","National Natural Science Foundation of China(grant numbers:61772393,61603299,61602385); National Basic Research Program of China (973 Program)(grant numbers:2017YFB0802200); Key Research and Development Program of Shaanxi Province(grant numbers:2018ZDXM-GY-045); Australian Research Council(grant numbers:DP160103595,LP180100114); Shenzhen Research and Development Foundation(grant numbers:JCYJ20170306153943097); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8666053","Evolutionary algorithm (EA);knowledge transfer;multitask optimization (MTO);multitasking","Task analysis;Optimization;Knowledge transfer;Sociology;Statistics;Multitasking;Research and development","evolutionary computation;optimisation","cross-task knowledge transfer;MFEA;self-regulated evolutionary multitask optimization;self-regulated EMTO;multitask optimization problems;multifactorial EA;task relatedness;evolutionary algorithms;evolutionary computation;single-task optimization counterpart","","99","","32","IEEE","12 Mar 2019","","","IEEE","IEEE Journals"
"Utilizing the Correlation Between Constraints and Objective Function for Constrained Evolutionary Optimization","Y. Wang; J. -P. Li; X. Xue; B. -c. Wang","School of Automation, Central South University, Changsha, China; School of Automation, Central South University, Changsha, China; School of Automation, Central South University, Changsha, China; Department of Systems Engineering and Engineering Management, City University of Hong Kong, Hong Kong","IEEE Transactions on Evolutionary Computation","29 Jan 2020","2020","24","1","29","43","When solving constrained optimization problems by evolutionary algorithms, the core issue is to balance constraints and objective function. This paper is the first attempt to utilize the correlation between constraints and objective function to keep this balance. First of all, the correlation between constraints and objective function is mined and represented by a correlation index. Afterward, a weighted sum updating approach and an archiving and replacement mechanism are proposed to make use of this correlation index to guide the evolution. By the above process, a novel constrained optimization evolutionary algorithm is presented. Experiments on a broad range of benchmark test functions indicate that the proposed method shows better or at least competitive performance against other state-of-the-art methods. Moreover, the proposed method is applied to the gait optimization of humanoid robots.","1941-0026","","10.1109/TEVC.2019.2904900","Central South University(grant numbers:2018CX010); National Natural Science Foundation of China(grant numbers:61673397); Hunan Provincial Natural Science Fund for Distinguished Young Scholars(grant numbers:2016JJ1018); Beijing Advanced Innovation Center for Intelligent Robots and Systems, Beijing Institute of Technology(grant numbers:2018IRS06); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8666749","Constrained optimization;constraints;correlation;evolutionary algorithms (EAs);humanoid robots;objective function","Linear programming;Optimization;Correlation;Sociology;Humanoid robots;Indexes","evolutionary computation;optimisation","objective function;correlation index;novel constrained optimization evolutionary algorithm;benchmark test functions;constrained optimization problems;evolutionary algorithms;balance constraints;gait optimization;humanoid robots","","54","","52","IEEE","13 Mar 2019","","","IEEE","IEEE Journals"
"Tackling Large-Scale and Combinatorial Bi-Level Problems With a Genetic Programming Hyper-Heuristic","E. Kieffer; G. Danoy; M. R. Brust; P. Bouvry; A. Nagih","Interdisciplinary Centre for Security, Reliability and Trust, University of Luxembourg, Luxembourg City, Luxembourg; Interdisciplinary Centre for Security, Reliability and Trust, University of Luxembourg, Luxembourg City, Luxembourg; Interdisciplinary Centre for Security, Reliability and Trust, University of Luxembourg, Luxembourg City, Luxembourg; Interdisciplinary Centre for Security, Reliability and Trust, University of Luxembourg, Luxembourg City, Luxembourg; Laboratoire de Conception, Optimisation et Modélisation des Systèmes, Université de Lorraine, Metz, France","IEEE Transactions on Evolutionary Computation","29 Jan 2020","2020","24","1","44","56","Combinatorial bi-level optimization remains a challenging topic, especially when the lower-level is an NP-hard problem. In this paper, we tackle large-scale and combinatorial bi-level problems using GP hyper-heuristics, i.e., an approach that permits to train heuristics like a machine learning model. Our contribution aims at targeting the intensive and complex lower-level optimizations that occur when solving a large-scale and combinatorial bi-level problem. For this purpose, we consider hyper-heuristics through heuristic generation. Using a GP hyper-heuristic approach, we train greedy heuristics in order to make them more reliable when encountering unseen lower-level instances that could be generated during bi-level optimization. To validate our approach referred to as GA+AGH, we tackle instances from the bi-level cloud pricing optimization problem (BCPOP) that model the trading interactions between a cloud service provider and cloud service customers. Numerical results demonstrate the abilities of the trained heuristics to cope with the inherent nested structure that makes bi-level optimization problems so hard. Furthermore, it has been shown that training heuristics for lower-level optimization permits to outperform human-based heuristics and metaheuristics which constitute an excellent outcome for bi-level optimization.","1941-0026","","10.1109/TEVC.2019.2906581","Fonds National de la Recherche Luxembourg(grant numbers:9984150); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8671761","Bi-level optimization;genetic programming;hyper-heuristics;pricing in the cloud;Stackelberg games","Optimization;Cloud computing;Pricing;Linear programming;Decision making;Complexity theory;Genetic programming","computational complexity;genetic algorithms;search problems","lower-level optimization;heuristic generation;GP hyper-heuristic approach;greedy heuristics;bi-level cloud pricing optimization problem;bi-level optimization problems;combinatorial bi-level problems;genetic programming hyper-heuristic;NP-hard problem;GP hyper-heuristics","","20","","68","IEEE","20 Mar 2019","","","IEEE","IEEE Journals"
"A Theoretical Guideline for Designing an Effective Adaptive Particle Swarm","M. R. Bonyadi","Data Science and AI, Rio Tinto, Brisbane, Australia","IEEE Transactions on Evolutionary Computation","29 Jan 2020","2020","24","1","57","68","In this paper, the underlying assumptions that have been used for designing adaptive particle swarm optimization (PSO) algorithms in the past years are theoretically investigated. I relate these assumptions to the movement patterns of particles controlled by coefficient values (inertia weight and acceleration coefficients) and introduce three factors, namely the autocorrelation of the particle positions, the average movement distance of the particle in each iteration, and the focus of the search, that describe these movement patterns. I show how these factors represent movement patterns of a particle within a swarm and how they are affected by particle coefficients (i.e., inertia weight and acceleration coefficients). I derive equations that provide exact coefficient values to guarantee to achieve the desired movement pattern defined by these three factors within a swarm. I then relate these movements to the searching capability of particles and provide a guideline for designing potentially successful adaptive methods to control coefficients in particle swarm. Finally, I propose a new simple time adaptive particle swarm and compare its results with previous adaptive particle swarm approaches. Experiments show that the theoretical findings indeed provide a beneficial guideline for the successful adaptation of the coefficients in the PSO algorithm.","1941-0026","","10.1109/TEVC.2019.2906894","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8672812","Correlation;covariance;particle swarm optimization (PSO);stability","Particle swarm optimization;Convergence;Acceleration;Linear programming;Guidelines;Correlation;Indexes","particle swarm optimisation","adaptive particle swarm optimization algorithms;movement patterns;inertia weight;acceleration coefficients;particle positions;average movement distance;particle coefficients;simple time adaptive particle swarm;PSO algorithm;adaptive particle swarm approaches","","20","","40","IEEE","22 Mar 2019","","","IEEE","IEEE Journals"
"Multifactorial Evolutionary Algorithm With Online Transfer Parameter Estimation: MFEA-II","K. K. Bali; Y. -S. Ong; A. Gupta; P. S. Tan","School of Computer Science and Engineering, Nanyang Technological University, Singapore; Data Science and Artificial Intelligence Research Centre, School of Computer Science and Engineering, Nanyang Technological University, Singapore; Singapore Institute of Manufacturing Technology, Agency for Science, Technology and Research, Singapore; Singapore Institute of Manufacturing Technology, Agency for Science, Technology and Research, Singapore","IEEE Transactions on Evolutionary Computation","29 Jan 2020","2020","24","1","69","83","Humans rarely tackle every problem from scratch. Given this observation, the motivation for this paper is to improve optimization performance through adaptive knowledge transfer across related problems. The scope for spontaneous transfers under the simultaneous occurrence of multiple problems unveils the benefits of multitasking. Multitask optimization has recently demonstrated competence in solving multiple (related) optimization tasks concurrently. Notably, in the presence of underlying relationships between problems, the transfer of high-quality solutions across them has shown to facilitate superior performance characteristics. However, in the absence of any prior knowledge about the intertask synergies (as is often the case with general black-box optimization), the threat of predominantly negative transfer prevails. Susceptibility to negative intertask interactions can impede the overall convergence behavior. To allay such fears, in this paper, we propose a novel evolutionary computation framework that enables online learning and exploitation of the similarities (and discrepancies) between distinct tasks in multitask settings, for an enhanced optimization process. Our proposal is based on the principled theoretical arguments that seek to minimize the tendency of harmful interactions between tasks, based on a purely data-driven learning of relationships among them. The efficacy of our proposed method is validated experimentally on a series of synthetic benchmarks, as well as a practical study that provides insights into the behavior of the method in the face of several tasks occurring at once.","1941-0026","","10.1109/TEVC.2019.2906927","Singapore Institute of Manufacturing Technology-Nanyang Technological University Joint Laboratory and Collaborative Research Programme on Complex Systems; National Research Foundation Singapore(grant numbers:AISG-RP-2018-00); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8672822","Evolutionary multitasking;general optimization intelligence (GOI);intertask synergies;multifactorial optimization;online similarity learning","Optimization;Task analysis;Multitasking;Evolutionary computation;Knowledge transfer;Bayes methods;Machine learning","evolutionary computation;learning (artificial intelligence);optimisation;parameter estimation","evolutionary computation framework;convergence behavior;negative intertask interactions;predominantly negative transfer;intertask synergies;superior performance characteristics;high-quality solutions;multiple optimization tasks;multitask optimization;multiple problems;simultaneous occurrence;spontaneous transfers;adaptive knowledge transfer;optimization performance;MFEA-II;online transfer parameter estimation;multifactorial evolutionary algorithm;optimization process;multitask settings;distinct tasks;online learning","","190","","70","IEEE","22 Mar 2019","","","IEEE","IEEE Journals"
"Toward a Matrix-Free Covariance Matrix Adaptation Evolution Strategy","J. Arabas; D. Jagodziński","Institute of Computer Science, Warsaw University of Technology, Warsaw, Poland; Institute of Computer Science, Warsaw University of Technology, Warsaw, Poland","IEEE Transactions on Evolutionary Computation","29 Jan 2020","2020","24","1","84","98","In this paper, we discuss a method for generating new individuals such that their mean vector and the covariance matrix are defined by formulas analogous to the covariance matrix adaptation evolution strategy (CMA-ES). In contrast to CMA-ES, which generates new individuals using multivariate Gaussian distribution with an explicitly defined covariance matrix, the introduced method uses combinations of difference vectors between archived individuals and univariate Gaussian random vectors along directions of past shifts of the population midpoints. We use this method to formulate the differential evolution strategy (DES)-an algorithm that is a crossover between differential evolution (DE) and CMA-ES. The numerical results presented in this paper indicate that DES is competitive against CMA-ES in performing both local and global optimization.","1941-0026","","10.1109/TEVC.2019.2907266","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8673614","Black-box optimization;covariance matrix adaptation evolution strategy (CMA-ES);differential evolution (DE)","Covariance matrices;Sociology;Optimization;History;Gaussian distribution;Indexes","covariance matrices;evolutionary computation;Gaussian distribution","multivariate Gaussian distribution;difference vectors;univariate Gaussian random vectors;differential evolution strategy;CMA-ES;matrix-free covariance matrix adaptation evolution strategy;mean vector;DES;global optimization;local optimization","","18","","35","IEEE","25 Mar 2019","","","IEEE","IEEE Journals"
"A Many-Objective Evolutionary Algorithm With Pareto-Adaptive Reference Points","Y. Xiang; Y. Zhou; X. Yang; H. Huang","School of Software Engineering, South China University of Technology, Guangzhou, China; School of Data and Computer Science, Sun Yat-sen University, Guangzhou, China; School of Software Engineering, South China University of Technology, Guangzhou, China; School of Software Engineering, South China University of Technology, Guangzhou, China","IEEE Transactions on Evolutionary Computation","29 Jan 2020","2020","24","1","99","113","We propose a new many-objective evolutionary algorithm with Pareto-adaptive reference points. In this algorithm, the shape of the Pareto-optimal front (PF) is estimated based on a ratio of Euclidean distances. If the estimated shape is likely to be convex, the nadir point is used as the reference point to calculate the convergence and diversity indicators for individuals. Otherwise, the reference point is set to the ideal point. In addition, the estimation of the nadir point is different from what was widely used in the literature. The nadir point, together with the ideal point, provides a feasible way to deal with dominance resistant solutions, which are difficult to be detected and eliminated in Pareto-based algorithms. The proposed algorithm is compared with the state-of-the-art many-objective optimization algorithms on a number of unconstrained and constrained test problems with up to 15 objectives. The experimental results show that it performs better than other algorithms in most of the test instances. Moreover, the new algorithm shows good performance on problems whose PFs are irregular (being discontinuous, degenerated, bent, or mixed). The observed high performance and inherent good properties (such as being free of weight vectors and control parameters) make the new proposal a promising tool for other similar problems.","1941-0026","","10.1109/TEVC.2019.2909636","National Natural Science Foundation of China(grant numbers:61773410,61673403,61876207); Guangdong Natural Science Funds for Distinguished Young Scholar(grant numbers:2014A030306050); Guangdong High-Level Personnel of Special Support Program(grant numbers:2014TQ01X664); International Cooperation Project of Guangzhou(grant numbers:201807010047); Science and Technology Program of Guangzhou(grant numbers:201607010069,201804010276); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8682100","Dominance resistant solutions;many-objective optimization;nadir point estimation;Pareto-adaptive reference points","Shape;Optimization;Sociology;Statistics;Convergence;Evolutionary computation;Estimation","convergence;convex programming;estimation theory;evolutionary computation;Pareto optimisation;set theory","many-objective evolutionary algorithm;Pareto-adaptive reference points;Pareto-optimal front;shape estimation;nadir point;Pareto-based algorithms;many-objective optimization algorithms","","55","","70","IEEE","9 Apr 2019","","","IEEE","IEEE Journals"
